model_id,horizon_years,outcome,term,estimate,cluster_se,t_stat_normal_approx,p_value_normal_approx,ci95_low_normal_approx,ci95_high_normal_approx,n,clusters,fixed_effects,cluster_variable,interpretation_boundary
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,intercept,0.0471065942,0.0126958525,3.7103923798,0.0002069383,0.0222227234,0.0719904650,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,treatment_main,0.0093684377,0.0348082971,0.2691438108,0.7878190177,-0.0588558246,0.0775927001,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2016,0.1409932878,0.0216100400,6.5244343860,0.0000000001,0.0986376095,0.1833489661,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2017,-0.0532334656,0.0180835425,-2.9437520661,0.0032425965,-0.0886772089,-0.0177897223,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2018,-0.0901969287,0.0157242699,-5.7361600470,0.0000000097,-0.1210164976,-0.0593773597,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2019,-0.1630835706,0.0171313727,-9.5195856849,0.0000000000,-0.1966610611,-0.1295060800,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2020,-0.0797174953,0.0240463361,-3.3151618190,0.0009159009,-0.1268483141,-0.0325866766,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2021,-0.0139670767,0.0187785327,-0.7437789161,0.4570102375,-0.0507730009,0.0228388474,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2022,-0.1005060419,0.0176780134,-5.6853697209,0.0000000131,-0.1351549481,-0.0658571357,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h1,1,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2023,-0.2509677274,0.0217235275,-11.5528073269,0.0000000000,-0.2935458413,-0.2083896136,3718,516,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,intercept,0.2691420633,0.0298383000,9.0200200102,0.0000000000,0.2106589952,0.3276251313,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,treatment_main,0.0404468895,0.1192755012,0.3391047544,0.7345308169,-0.1933330928,0.2742268719,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2016,-0.1280048484,0.0287795636,-4.4477689191,0.0000086767,-0.1844127931,-0.0715969038,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2017,-0.4487530455,0.0349668519,-12.8336702189,0.0000000000,-0.5172880752,-0.3802180159,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2018,-0.5150545863,0.0443504960,-11.6132768002,0.0000000000,-0.6019815584,-0.4281276141,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2019,-0.3907550727,0.0422324256,-9.2524894523,0.0000000000,-0.4735306270,-0.3079795185,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2020,-0.2527675327,0.0419131641,-6.0307432763,0.0000000016,-0.3349173344,-0.1706177310,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h3,3,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2021,-0.4564763130,0.0382880187,-11.9221711848,0.0000000000,-0.5315208296,-0.3814317964,2698,450,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,intercept,0.0404133212,0.0418244572,0.9662605064,0.3339138429,-0.0415626149,0.1223892573,1822,400,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,treatment_main,0.1911030375,0.3734258454,0.5117563229,0.6088215621,-0.5408116195,0.9230176946,1822,400,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2016,-0.1323229439,0.0498316226,-2.6554010676,0.0079214165,-0.2299929242,-0.0346529636,1822,400,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2017,-0.2623088833,0.0540289780,-4.8549665917,0.0000012041,-0.3682056802,-0.1564120863,1822,400,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2018,-0.2519360788,0.0452535978,-5.5672055029,0.0000000259,-0.3406331305,-0.1632390271,1822,400,filing_year,cluster_issuer,association_only_not_causal
baseline_year_fe_h5,5,outcome_primary_excess_vwretd_winsor_p01_p99,filing_year_2019,-0.4461092090,0.0575194190,-7.7558017273,0.0000000000,-0.5588472702,-0.3333711479,1822,400,filing_year,cluster_issuer,association_only_not_causal
